subscription_id,customer_id,plan,status,start_date,end_date
118,118,PRO,active,2025-07-23,
119,119,Enterprise,ACTIVE,2025-09-11,
120,120,Enterprise,active,2025-01-25,
121,121,PRO,active,2025-02-12,
122,122,BASIC,ACTIVE,2025-03-28,
123,123,basic,cancelled,2026-04-11,2024-06-30
124,124,basic,cancelled,2024-11-25,2025-05-20
125,125,BASIC,Canceled,2025-05-11,2025-04-13
126,126,PRO,cancelled,2024-07-31,2026-04-17
127,127,Enterprise,Canceled,2024-11-26,2025-09-12
128,128,BASIC,Canceled,2025-01-30,2024-08-29
129,129,BASIC,ACTIVE,2024-06-12,
130,130,Pro,Canceled,2025-02-02,2026-03-26
131,131,basic,active,2024-11-29,
132,132,PRO,cancelled,2026-04-18,2024-07-22
133,133,basic,ACTIVE,2025-01-24,
134,134,Enterprise,active,2025-08-22,
135,135,basic,ACTIVE,2025-02-13,
136,136,BASIC,active,2024-12-25,
137,137,Basic,active,2026-04-23,
138,138,Pro,active,2025-06-15,
139,139,Pro,cancelled,2024-09-16,2026-05-03
140,140,PRO,Canceled,2026-03-05,2025-09-05
141,141,basic,Canceled,2025-10-14,2026-01-03
142,142,Basic,Canceled,2025-08-18,2025-06-05
143,143,BASIC,ACTIVE,2024-07-23,
144,144,Pro,ACTIVE,2025-12-08,
145,145,Pro,active,2025-12-25,
146,146,basic,cancelled,2025-08-31,2024-07-01
147,147,PRO,active,2026-03-09,
148,148,BASIC,ACTIVE,2025-02-16,
149,149,PRO,cancelled,2026-03-07,2024-12-14
150,150,Enterprise,cancelled,2024-08-27,2026-05-12
151,151,Pro,Canceled,2025-06-04,2024-08-16
152,152,Basic,Canceled,2024-07-08,2025-10-06
153,153,BASIC,cancelled,2024-12-19,2024-07-31
154,154,Pro,ACTIVE,2025-05-06,
155,155,BASIC,ACTIVE,2024-10-11,
156,156,Enterprise,active,2025-11-21,
157,157,Pro,Canceled,2025-04-28,2024-10-03
158,158,Pro,active,2024-10-09,
159,159,Basic,active,2025-01-01,
160,160,Pro,ACTIVE,2024-09-02,
161,161,Basic,ACTIVE,2024-12-17,
162,162,PRO,active,2025-02-10,
163,163,PRO,active,2024-08-10,
164,164,Enterprise,active,2026-02-22,
165,165,Enterprise,ACTIVE,2025-10-09,
166,166,Basic,cancelled,2024-10-13,2025-05-10
167,167,BASIC,ACTIVE,2024-09-14,
168,168,Pro,cancelled,2025-11-16,2026-04-20
169,169,Pro,cancelled,2026-06-05,2024-06-20
170,170,Pro,cancelled,2025-08-17,2025-11-25
171,171,basic,Canceled,2026-02-23,2026-05-10
172,172,BASIC,Canceled,2025-11-23,2024-06-27
173,173,PRO,active,2026-05-17,
174,174,BASIC,active,2025-09-05,
175,175,PRO,active,2024-12-05,
176,176,Pro,ACTIVE,2026-03-20,
177,177,PRO,Canceled,2024-09-17,2025-12-20
178,178,basic,ACTIVE,2024-11-04,
179,179,Pro,Canceled,2024-07-19,2025-10-28
180,180,Basic,active,2025-02-06,
181,181,PRO,cancelled,2024-09-30,2025-09-11
182,182,Pro,ACTIVE,2026-01-25,
183,183,basic,ACTIVE,2025-02-16,
184,184,Basic,cancelled,2026-02-09,2025-11-26
185,185,BASIC,Canceled,2025-09-28,2024-07-01
186,186,Enterprise,Canceled,2026-05-11,2025-08-25
187,187,basic,ACTIVE,2025-10-30,
188,188,basic,cancelled,2025-12-01,2025-03-16
189,189,Basic,active,2024-06-28,
190,190,BASIC,Canceled,2025-04-04,2025-02-03
191,191,Pro,Canceled,2024-12-07,2024-07-24
192,192,PRO,ACTIVE,2025-12-18,
193,193,BASIC,ACTIVE,2024-06-19,
194,194,Basic,ACTIVE,2024-12-18,
195,195,Enterprise,Canceled,2025-09-16,2024-09-07
196,196,Enterprise,Canceled,2025-08-12,2025-12-13
197,197,Basic,cancelled,2025-09-28,2025-04-24
198,198,Basic,active,2025-05-18,
199,199,Pro,ACTIVE,2025-02-04,
200,200,BASIC,ACTIVE,2025-10-21,
200,200,BASIC,ACTIVE,2025-10-21,
201,201,Enterprise,active,2024-12-05,
202,202,Pro,Canceled,2025-05-31,2025-01-19
203,203,PRO,ACTIVE,2026-04-24,
204,204,basic,Canceled,2025-08-26,2025-08-11
205,205,Pro,active,2025-09-04,
206,206,Enterprise,ACTIVE,2025-06-01,
207,207,Enterprise,active,2025-08-13,
208,208,Enterprise,ACTIVE,2025-10-28,
209,209,basic,cancelled,2025-10-24,2024-07-12
210,210,Basic,Canceled,2026-03-27,2025-06-16
211,211,basic,active,2024-08-30,
212,212,Basic,active,2025-01-20,
213,213,Basic,cancelled,2024-12-16,2026-03-11
214,214,basic,active,2025-02-27,
215,215,basic,Canceled,2025-01-21,2026-04-23
216,216,basic,Canceled,2026-04-05,2026-05-15
217,217,BASIC,active,2025-12-14,
218,218,Enterprise,cancelled,2025-11-30,2025-02-06
219,219,Pro,active,2024-08-28,
220,220,Enterprise,Canceled,2026-01-20,2026-04-16
221,221,BASIC,Canceled,2025-06-13,2024-11-14
222,222,Enterprise,ACTIVE,2024-09-29,
223,223,Enterprise,active,2024-07-13,
224,224,Basic,Canceled,2025-01-17,2025-03-23
225,225,basic,active,2025-02-04,
226,226,BASIC,active,2025-10-17,
227,227,PRO,active,2026-01-06,
228,228,BASIC,Canceled,2025-09-21,2026-04-19
229,229,Enterprise,ACTIVE,2024-10-01,
230,230,Basic,active,2025-08-23,
231,231,Basic,cancelled,2025-08-30,2024-12-26
232,232,Enterprise,active,2025-10-21,
233,233,Basic,ACTIVE,2025-01-11,
234,234,Enterprise,ACTIVE,2025-07-28,
235,235,basic,active,2026-02-10,
236,236,Enterprise,cancelled,2025-06-18,2024-08-24
237,237,basic,Canceled,2026-05-20,2024-11-10
238,238,Basic,active,2024-06-17,
239,239,basic,cancelled,2025-04-17,2025-07-05
240,240,PRO,Canceled,2026-01-05,2024-08-17
241,241,Basic,cancelled,2026-04-20,2025-04-30
242,242,basic,active,2025-05-24,
243,243,Pro,active,2025-04-14,
244,244,PRO,Canceled,2024-06-28,2025-01-15
245,245,Enterprise,ACTIVE,2025-04-05,
246,246,BASIC,Canceled,2025-09-07,2024-09-11
247,247,basic,ACTIVE,2024-10-12,
248,248,Enterprise,ACTIVE,2025-09-21,
249,249,BASIC,active,2026-02-15,
250,250,BASIC,cancelled,2024-06-15,2025-11-26
251,251,Pro,ACTIVE,2024-06-26,
252,252,Basic,active,2026-01-04,
253,253,basic,Canceled,2025-11-29,2025-04-22
254,254,Basic,active,2025-04-06,
255,255,basic,Canceled,2025-04-21,2024-12-04
256,256,basic,Canceled,2025-03-30,2025-09-30
257,257,Enterprise,ACTIVE,2026-04-23,
258,258,Basic,Canceled,2025-07-19,2026-04-30
259,259,basic,active,2025-07-05,
260,260,Pro,active,2025-12-12,
261,261,PRO,active,2025-02-18,
262,262,Enterprise,Canceled,2025-08-14,2025-06-29
263,263,Basic,ACTIVE,2025-12-29,
264,264,Pro,cancelled,2025-03-29,2026-05-17
265,265,BASIC,cancelled,2026-03-23,2025-08-07
266,266,BASIC,Canceled,2024-08-04,2025-08-08
267,267,basic,Canceled,2024-06-28,2025-06-24
268,268,basic,ACTIVE,2026-01-17,
269,269,PRO,active,2024-08-13,
270,270,basic,cancelled,2025-03-08,2025-02-14
271,271,BASIC,ACTIVE,2024-07-27,
272,272,BASIC,cancelled,2026-03-08,2024-09-06
273,273,Basic,cancelled,2025-08-12,2025-01-10
274,274,Enterprise,Canceled,2025-12-25,2024-09-09
275,275,Enterprise,ACTIVE,2024-10-21,
276,276,basic,Canceled,2024-12-04,2026-03-14
277,277,Pro,ACTIVE,2026-05-10,
278,278,Basic,ACTIVE,2025-10-03,
279,279,basic,active,2026-02-09,
280,280,Enterprise,ACTIVE,2024-08-09,
281,281,Pro,active,2025-10-16,
282,282,PRO,active,2024-10-07,
283,283,PRO,active,2025-07-18,
284,284,Pro,Canceled,2025-02-21,2024-11-12
285,285,PRO,ACTIVE,2025-12-22,
286,286,basic,ACTIVE,2025-08-09,
287,287,Basic,ACTIVE,2025-01-19,
288,288,PRO,Canceled,2025-02-10,2025-03-24
289,289,BASIC,ACTIVE,2024-06-26,
290,290,basic,Canceled,2025-04-22,2026-01-14
291,291,Enterprise,cancelled,2024-11-29,2026-05-29
292,292,Enterprise,Canceled,2024-10-08,2026-05-26
293,293,BASIC,active,2024-08-08,
294,294,BASIC,cancelled,2025-10-06,2025-07-01
295,295,Pro,cancelled,2026-04-16,2026-05-23
296,296,BASIC,cancelled,2025-04-03,2025-08-17
297,297,Pro,cancelled,2025-08-20,2026-02-13
298,298,BASIC,cancelled,2026-01-29,2025-08-07
299,299,Basic,cancelled,2025-09-29,2025-07-06
300,300,PRO,Canceled,2025-05-17,2026-04-02
300,300,PRO,Canceled,2025-05-17,2026-04-02
301,301,PRO,active,2025-07-26,
302,302,PRO,cancelled,2026-05-20,2025-01-05
303,303,Basic,Canceled,2025-11-25,2025-04-09
304,304,BASIC,Canceled,2025-03-11,2025-03-05
305,305,Enterprise,active,2025-11-06,
306,306,basic,active,2025-04-18,
307,307,Basic,cancelled,2026-02-17,2025-07-24
308,308,BASIC,Canceled,2026-02-01,2025-11-17
309,309,PRO,ACTIVE,2025-08-25,
310,310,basic,active,2024-06-13,
311,311,PRO,ACTIVE,2026-01-11,
312,312,Enterprise,Canceled,2026-05-01,2025-11-24
313,313,Pro,active,2025-08-10,
314,314,Enterprise,ACTIVE,2026-02-02,
315,315,PRO,Canceled,2026-05-04,2025-10-21
316,316,basic,ACTIVE,2024-09-16,
317,317,Basic,ACTIVE,2025-09-27,
318,318,Basic,cancelled,2026-02-01,2025-10-11
319,319,PRO,cancelled,2025-02-28,2024-12-25
320,320,PRO,Canceled,2024-09-23,2024-09-17
321,321,Pro,active,2024-10-26,
322,322,Enterprise,Canceled,2024-12-05,2025-07-09
323,323,Basic,active,2024-09-15,
324,324,Basic,Canceled,2025-07-07,2025-03-20
325,325,Enterprise,active,2025-06-18,
326,326,Basic,Canceled,2025-01-09,2025-05-30
327,327,Pro,ACTIVE,2024-08-16,
328,328,Enterprise,ACTIVE,2024-09-03,
329,329,Basic,ACTIVE,2025-07-02,
330,330,Basic,ACTIVE,2025-12-07,
331,331,basic,cancelled,2025-02-22,2025-11-08
332,332,basic,cancelled,2025-12-07,2026-03-22
333,333,basic,cancelled,2024-06-11,2025-02-21
334,334,Basic,Canceled,2025-08-04,2025-11-11
335,335,basic,cancelled,2024-06-22,2026-03-08
336,336,Pro,ACTIVE,2025-07-18,
337,337,Basic,cancelled,2025-05-23,2026-05-11
338,338,basic,ACTIVE,2025-04-21,
339,339,Enterprise,active,2024-08-01,
340,340,PRO,cancelled,2024-08-13,2026-04-10
341,341,Basic,active,2024-11-09,
342,342,basic,cancelled,2025-10-04,2024-10-28
343,343,basic,ACTIVE,2025-08-20,
344,344,Pro,cancelled,2025-08-23,2024-11-09
345,345,BASIC,cancelled,2024-07-06,2026-01-09
346,346,basic,cancelled,2025-04-07,2024-08-06
347,347,BASIC,ACTIVE,2025-01-09,
348,348,Pro,cancelled,2024-12-03,2024-09-19
349,349,Pro,ACTIVE,2025-01-09,
350,350,BASIC,cancelled,2025-09-29,2024-10-16
351,351,PRO,active,2026-03-10,
352,352,Basic,cancelled,2025-04-11,2026-01-14
353,353,Basic,ACTIVE,2025-02-17,
354,354,BASIC,ACTIVE,2026-03-14,
355,355,Enterprise,active,2025-10-28,
356,356,Basic,Canceled,2024-06-07,2025-02-06
357,357,Pro,cancelled,2026-05-23,2025-07-25
358,358,basic,Canceled,2024-06-08,2025-04-14
359,359,Basic,Canceled,2024-11-24,2025-12-14
360,360,Enterprise,Canceled,2026-03-31,2025-02-25
361,361,PRO,cancelled,2024-11-28,2025-12-19
362,362,BASIC,active,2024-07-17,
363,363,Enterprise,cancelled,2025-08-05,2024-08-12
364,364,basic,active,2025-06-21,
365,365,basic,ACTIVE,2025-08-01,
366,366,basic,ACTIVE,2025-01-27,
367,367,Pro,cancelled,2024-11-21,2025-07-22
368,368,basic,Canceled,2026-05-19,2025-10-07
369,369,Enterprise,ACTIVE,2025-04-11,
370,370,basic,cancelled,2025-01-24,2025-04-01
371,371,BASIC,Canceled,2025-11-13,2025-07-04
372,372,Basic,ACTIVE,2025-02-05,
373,373,PRO,active,2024-12-05,
374,374,Pro,active,2024-10-31,
375,375,basic,ACTIVE,2025-05-14,
376,376,PRO,active,2024-12-06,
377,377,BASIC,ACTIVE,2024-08-20,
378,378,Basic,active,2025-03-01,
379,379,PRO,cancelled,2024-09-15,2025-05-22
380,380,Basic,active,2026-05-26,
381,381,Basic,cancelled,2025-03-18,2024-09-08
382,382,Basic,Canceled,2024-07-08,2025-05-09
383,383,Basic,ACTIVE,2025-11-05,
384,384,BASIC,Canceled,2025-04-17,2025-02-06
385,385,basic,ACTIVE,2026-01-09,
386,386,Pro,active,2025-08-14,
387,387,BASIC,ACTIVE,2024-09-07,
388,388,Pro,cancelled,2025-01-16,2024-10-21
389,389,basic,ACTIVE,2026-05-21,
390,390,basic,ACTIVE,2026-03-14,
391,391,PRO,cancelled,2024-07-22,2024-07-30
392,392,Enterprise,ACTIVE,2025-06-14,
393,393,Enterprise,ACTIVE,2024-11-02,
394,394,basic,ACTIVE,2025-07-22,
395,395,basic,active,2025-12-29,
396,396,BASIC,Canceled,2025-08-12,2025-08-13
397,397,Basic,active,2024-11-27,
398,398,Basic,active,2024-11-13,
399,399,basic,cancelled,2026-05-07,2024-09-08
400,400,BASIC,ACTIVE,2024-07-29,
400,400,BASIC,ACTIVE,2024-07-29,
401,401,BASIC,ACTIVE,2024-08-19,
402,402,basic,cancelled,2025-08-13,2025-01-22
403,403,Enterprise,ACTIVE,2026-03-22,
404,404,PRO,cancelled,2026-03-13,2026-05-08
405,405,PRO,ACTIVE,2024-09-01,
406,406,PRO,cancelled,2025-05-15,2024-12-18
407,407,Enterprise,active,2025-02-03,
408,408,basic,active,2024-08-19,
409,409,BASIC,cancelled,2024-08-07,2024-11-23
410,410,Basic,cancelled,2025-08-10,2026-02-26
411,411,Enterprise,cancelled,2025-09-11,2025-12-02
412,412,basic,active,2025-06-29,
413,413,basic,Canceled,2025-11-12,2025-05-11
414,414,PRO,ACTIVE,2024-11-27,
415,415,Pro,ACTIVE,2026-01-30,
416,416,Basic,Canceled,2025-09-08,2024-06-28
417,417,Enterprise,Canceled,2025-03-26,2025-04-10
418,418,Enterprise,cancelled,2024-11-24,2024-07-12
419,419,PRO,active,2025-02-04,
420,420,BASIC,active,2024-07-26,
421,421,BASIC,active,2024-07-14,
422,422,basic,Canceled,2025-01-25,2024-11-15
423,423,Enterprise,cancelled,2025-05-16,2025-10-01
424,424,BASIC,Canceled,2025-12-28,2025-07-24
425,425,Enterprise,cancelled,2026-03-03,2026-05-24
426,426,basic,active,2025-02-25,
427,427,PRO,Canceled,2025-09-02,2025-08-22
428,428,PRO,active,2024-08-19,
429,429,BASIC,cancelled,2025-06-27,2025-10-24
430,430,PRO,Canceled,2025-08-14,2025-07-13
431,431,Enterprise,ACTIVE,2026-03-08,
432,432,Pro,Canceled,2025-11-15,2024-06-28
433,433,BASIC,active,2025-05-27,
434,434,Basic,cancelled,2026-03-18,2025-03-18
435,435,Basic,active,2025-02-09,
436,436,BASIC,active,2025-08-20,
437,437,basic,ACTIVE,2025-09-19,
438,438,BASIC,active,2025-07-21,
439,439,PRO,ACTIVE,2024-09-21,
440,440,Pro,active,2025-03-31,
441,441,BASIC,active,2025-06-24,
442,442,PRO,Canceled,2026-02-01,2024-11-30
443,443,PRO,cancelled,2025-06-10,2025-03-14
444,444,Pro,ACTIVE,2025-02-08,
445,445,PRO,ACTIVE,2026-04-20,
446,446,basic,ACTIVE,2026-05-01,
447,447,Enterprise,Canceled,2025-11-03,2025-01-25
448,448,PRO,Canceled,2026-04-04,2025-11-29
449,449,Basic,ACTIVE,2025-09-02,
450,450,BASIC,cancelled,2024-10-09,2025-08-02
451,451,basic,active,2025-12-01,
452,452,Basic,ACTIVE,2024-09-13,
453,453,Basic,ACTIVE,2026-03-09,
454,454,basic,cancelled,2024-08-21,2026-03-10
455,455,basic,ACTIVE,2025-12-21,
456,456,PRO,ACTIVE,2025-06-12,
457,457,PRO,cancelled,2025-07-28,2025-07-11
458,458,BASIC,active,2025-04-28,
459,459,Basic,active,2025-01-27,
460,460,PRO,active,2024-07-09,
461,461,basic,Canceled,2025-01-10,2026-03-06
462,462,PRO,ACTIVE,2025-01-07,
463,463,PRO,cancelled,2025-08-07,2025-10-02
464,464,basic,active,2026-02-07,
465,465,Basic,Canceled,2024-10-02,2026-06-01
466,466,PRO,ACTIVE,2025-01-22,
467,467,PRO,Canceled,2024-10-31,2025-07-27
468,468,Enterprise,active,2024-10-29,
469,469,Basic,active,2024-12-31,
470,470,BASIC,cancelled,2026-04-08,2025-01-10
471,471,basic,cancelled,2026-05-29,2025-12-19
472,472,Pro,ACTIVE,2024-08-08,
473,473,BASIC,Canceled,2026-04-06,2026-06-01
474,474,basic,ACTIVE,2026-02-03,
475,475,BASIC,Canceled,2025-10-07,2025-10-23
476,476,BASIC,Canceled,2025-10-04,2024-07-01
477,477,Enterprise,ACTIVE,2024-10-18,
478,478,Enterprise,Canceled,2025-03-29,2026-03-06
479,479,Enterprise,active,2026-01-30,
480,480,PRO,Canceled,2024-08-31,2025-08-19
481,481,Enterprise,ACTIVE,2025-05-01,
482,482,BASIC,Canceled,2026-04-06,2025-05-30
483,483,Enterprise,ACTIVE,2025-11-15,
484,484,PRO,active,2025-09-15,
485,485,BASIC,active,2024-07-09,
486,486,Basic,cancelled,2025-11-20,2025-12-12
487,487,basic,ACTIVE,2024-09-24,
488,488,Enterprise,ACTIVE,2025-11-14,
489,489,basic,cancelled,2025-01-21,2025-10-18
490,490,BASIC,active,2024-08-31,
491,491,Pro,Canceled,2024-12-25,2025-05-19
492,492,PRO,cancelled,2025-06-16,2025-12-09
493,493,Pro,cancelled,2024-11-27,2025-10-04
494,494,Enterprise,ACTIVE,2025-11-05,
495,495,basic,active,2026-04-28,
496,496,Pro,ACTIVE,2026-02-25,
497,497,Basic,Canceled,2026-02-09,2024-10-21
498,498,Basic,ACTIVE,2026-01-16,
499,499,Enterprise,active,2024-07-08,
500,500,Enterprise,ACTIVE,2026-05-29,
500,500,Enterprise,ACTIVE,2026-05-29,
